"doi_prefix","issn"
"10.113","0016-7592"
"10.1851","2395-7654"
"10.31083","0219-6352"
"10.9749","0388-7405"
"10.55563","1593-098X"
"10.3847","0004-637X"
"10.17301","1226-5314"
"10.31174","2308-5258"
"10.5254","1943-4804"
"10.5715","1340-7619"
"10.17559","1330-3651"
"10.15316","2458-8377"
"10.1215","0035-8118"
"10.24831","2337-3652"
"10.31764","2615-4226"
"10.7748","0029-6570"
"10.31203","1738-3382"
"10.18215","1229-4578"
"10.5958","0976-013X"
"10.33736","2590-3543"
"10.1154","0885-7156"
"10.18356","1682-0908"
"10.2355","0021-1575"
"10.53022","2782-9979"
"10.54536","2831-5588"
"10.5194","2194-9034"
"10.379","1439-121X"
"10.23889","2399-4908"
"10.521","2162-3317"
"10.1248","0918-6158"
"10.20467","1091-5710"
"10.1061","0733-9437"
"10.36396","2077-6764"
"10.53479","1579-3621"
"10.30853","1997-2911"
"10.1166","2164-6627"
"10.24425","2545-2770"
"10.4414","0036-7486"
"10.7494","0138-0974"
"10.21511","1683-1942"
"10.5139","1225-1348"
"10.1158","0008-5472"
"10.25165","1934-6344"
"10.1095","0006-3363"
"10.7554","2050-084X"
"10.1242","1477-9145"
"10.3748","1007-9327"
"10.37467","2695-9623"
"10.21202","2782-2923"
"10.31073","2312-0223"
"10.1289","1078-0475"
"10.15446","2344-8644"
"10.121","0021-972X"
"10.107","0036-021X"
"10.4049","0022-1767"
"10.1067","0190-9622"
"10.7163","2300-8547"
"10.1271","0002-1369"
"10.1161","0009-7330"
"10.5951","0025-5769"
"10.5136","1341-9455"
"10.24832","2580-8907"
"10.7498","1000-3290"
"10.36683","2076-5347"
"10.19109","2549-6468"
"10.21518","2658-5790"
"10.52133","2709-7064"
"10.7592","2543-7844"
"10.1175","0095-9634"
"10.153","1479-6848"
"10.55057","2682-8510"
"10.36654","2686-2077"
"10.18172","1697-9540"
"10.1603","0022-2585"
"10.2746","0425-1644"
"10.5796","0366-9297"
"10.18848","1835-9795"
"10.5114","2353-4184"
"10.4191","1229-7801"
"10.9785","2194-4180"
"10.30983","2549-4139"
"10.2753","1061-1991"
"10.3164","0912-0009"
"10.17723","0360-9081"
"10.17058","2527-1288"
"10.1525","0011-3530"
"10.31866","2616-4183"
"10.31857","0132-3423"
"10.3327","1347-2879"
"10.5335","2317-6695"
"10.3201","1080-6040"
"10.5937","1451-4117"
"10.35429","2414-4959"
"10.1272","0048-0444"
"10.17323","1811-0398"
"10.35619","2708-1400"
"10.31202","2148-3736"
"10.17582","0030-9923"
"10.328","0416-9565"
"10.22214","2321-9653"
"10.5539","1916-9760"
"10.37904","2694-9296"
"10.7788","0006-2456"
"10.5565","2385-5355"
"10.3166","0151-9107"
"10.54386","2583-2980"
"10.5121","1839-6682"
"10.32629","2630-4686"
"10.111","0961-8368"
"10.4271","1946-3944"
"10.5377","2415-5721"
"10.3141","0361-1981"
"10.22328","2587-7828"
"10.17314","1598-9585"
"10.20452","1897-9483"
"10.1258","0022-2151"
"10.21037","2224-5820"
"10.31524","2228-9674"
"10.35504","1598-5024"
"10.3858","1226-3613"
"10.31729","1815-672X"
"10.1503","0820-3946"
"10.3366","0020-157X"
"10.1034","0905-7161"
"10.22678","2635-8875"
"10.3182","1474-6670"
"10.5593","2367-5659"
"10.1176","1075-2730"
"10.47235","2182-7214"
"10.12935","0446-6454"
"10.1259","0007-1285"
"10.25236","2616-5775"
"10.21577","0103-5053"
"10.61468","1179-7673"
"10.26843","2179-426X"
"10.2166","0273-1223"
"10.25162","0003-9292"
"10.15361","2175-0106"
"10.1828","2369-0739"
"10.1128","0021-9193"
"10.1246","0369-5387"
"10.1587","2185-4106"
"10.2337","0012-1797"
"10.54441","2799-5496"
"10.1068","0263-7758"
"10.5028","2175-9146"
"10.2147","1178-2005"
"10.1203","0031-3998"
"10.7326","0003-4819"
"10.26835","2564-6109"
"10.1386","2054-7668"
"10.51358","1808-5377"
"10.52236","2655-9870"
"10.14227","1521-298X"
"10.1116","0022-5355"
"10.3923","1680-5194"
"10.1149","2162-8769"
"10.14253","2508-691X"
"10.4039","0008-347X"
"10.25046","2415-6698"
"10.12688","2398-502X"
"10.977","2669-0195"
"10.3341","0378-6471"
"10.1295","0454-1138"
"10.14219","0002-8177"
"10.22402","2448-8119"
"10.2507","2526-5539"
"10.5455","2349-3283"
"10.17533","0123-3432"
"10.14419","2227-524X"
"10.52058","2786-6300"
"10.12968","0966-0461"
"10.18682","1853-3523"
"10.21512","2476-9053"
"10.5867","0717-6384"
"10.36568","2407-8948"
"10.4158","1530-891X"
"10.1053","0272-6386"
"10.14315","2198-0454"
"10.1536","1349-2365"
"10.20434","2093-2014"
"10.7213","2175-1838"
"10.20473","2599-056X"
"10.20868","2444-1309"
"10.15366","1696-4713"
"10.29313","2656-8438"
"10.24293","2477-4685"
"10.1508","0011-4545"
"10.2989","1022-0119"
"10.7582","1229-1064"
"10.3133","2331-1258"
"10.3998","2331-687X"
"10.4204","2075-2180"
"10.3892","1791-2997"
"10.2431","2695-7809"
"10.17233","1305-5577"
"10.1046","0007-0963"
"10.14423","0038-4348"
"10.2751","1345-8647"
"10.17265","2159-5542"
"10.32326","1814-9146"
"10.17116","1997-7298"
"10.3594","2278-3075"
"10.36726","2005-5587"
"10.55927","2828-1519"
"10.24033","0012-9593"
"10.37199","2959-4081"
"10.24191","2289-2559"
"10.5124","0023-4028"
"10.17221","1212-1800"
"10.21439","2176-0144"
"10.4317","1698-6946"
"10.29146","2175-8689"
"10.20546","2319-7692"
"10.5185","0976-397X"
"10.28998","2175-6600"
"10.4156","2005-8039"
"10.1484","1784-8814"
"10.1137","1064-8275"
"10.24965","1989-8975"
"10.34256","2582-1113"
"10.1585","2337-4330"
"10.30586","2587-2567"
"10.21009","2614-3984"
"10.35552","2311-8865"
"10.56056","2958-8979"
"10.35164","0554-2901"
"10.5007","1518-2924"
"10.3184","1747-5198"
"10.2135","0011-183X"
"10.232","1880-6880"
"10.7767","0025-4606"
"10.1471","2721-6233"
"10.35842","2580-3891"
"10.1192","0007-1250"
"10.32523","2306-6172"
"10.23977","2371-9397"
"10.15626","2002-8008"
"10.3891","0904-213X"
"10.18779","2697-3642"
"10.2495","1743-3541"
"10.3103","1068-798X"
"10.21073","1598-3919"
"10.246","0002-9645"
"10.14314","0032-2725"
"10.17072","2079-7877"
"10.15252","0261-4189"
"10.5392","1598-4877"
"10.512","0975-8887"
"10.18502","2518-668X"
"10.15408","2549-7901"
"10.1207","0163-5581"
"10.5394","2709-9164"
"10.17013","1646-9895"
"10.5761","1341-1098"
"10.11603","2414-9934"
"10.715","1449-2288"
"10.21498","2518-7457"
"10.12701","2799-8010"
"10.1213","0003-2999"
"10.14295","1981-1179"
"10.5897","1996-0816"
"10.1306","0149-1423"
"10.12669","1681-715X"
"10.2316","1925-7090"
"10.13103","1229-1153"
"10.13076","1300-3550"
"10.5631","1884-4545"
"10.1912","1229-6600"
"10.3402","1600-0889"
"10.21786","0974-6455"
"10.29163","1226-3397"
"10.7475","1225-4886"
"10.12988","1314-7668"
"10.424","1948-9366"
"10.4267","1951-6827"
"10.51488","1680-080X"
"10.1027","2190-8370"
"10.13102","2447-8067"
"10.34105","2073-7904"
"10.52842","2710-4265"
"10.1094","0191-2917"
"10.4081","2612-5110"
"10.5507","1211-6521"
"10.3152","0302-3427"
"10.2528","1937-8726"
"10.3906","1300-0144"
"10.35638","1229-8662"
"10.1671","0272-4634"
"10.22498","2411-605X"
"10.3945","0002-9165"
"10.1765","1996-1812"
"10.33507","2581-0197"
"10.4213","0042-1316"
"10.3084","2413-7103"
"10.18664","2413-3914"
"10.1628","0022-6882"
"10.22463","2422-5053"
"10.22251","1598-2106"
"10.2183","0369-9846"
"10.24231","1975-3217"
"10.52434","2715-9949"
"10.24875","1405-9622"
"10.188","2224-6428"
"10.4025","2176-4786"
"10.3401","2830-0637"
"10.15517","2215-4175"
"10.7458","2182-7907"
"10.6018","1989-6131"
"10.21111","2528-2948"
"10.15444","2288-825X"
"10.1104","0032-0889"
"10.5093","1132-0559"
"10.2105","0090-0036"
"10.14309","0002-9270"
"10.56444","2797-9083"
"10.37544","0720-5953"
"10.34119","2595-6825"
"10.3995","0912-0726"
"10.30965","0003-9160"
"10.21859","2588-722X"
"10.15863","2308-4944"
"10.3372","0511-9618"
"10.513","1839-745X"
"10.26421","1533-7146"
"10.4141","0008-4220"
"10.54103","2531-6710"
"10.56042","0301-1208"
"10.2169","0918-2918"
"10.4148","1941-4765"
"10.17755","1304-0278"
"10.15405","2357-1330"
"10.3368","0023-7639"
"10.1501","1300-1523"
"10.18693","1229-6775"
"10.546","2007-0780"
"10.18869","2383-4072"
"10.4337","1370-6209"
"10.6007","2222-6990"
"10.22518","1657-8953"
"10.525","0160-9009"
"10.6035","1139-5486"
"10.21831","2476-9401"
"10.13033","1556-8296"
"10.23857","2550-682X"
"10.33186","1027-3689"
"10.1615","1521-9429"
"10.18293","2325-9000"
"10.538","2236-0999"
"10.433","1949-8462"
"10.6004","1540-1405"
"10.31926","2065-2151"
"10.7717","2167-8359"
"10.1373","0009-9147"
"10.23994","2343-399X"
"10.1208","1530-9932"
"10.4781","2603-3372"
"10.24833","2541-9099"
"10.7324","2231-3354"
"10.36283","2308-2593"
"10.14361","2703-1691"
"10.4166","1598-9992"
"10.3791","1940-087X"
"10.12697","1406-5509"
"10.1614","0043-1745"
"10.32678","2620-598X"
"10.2478","1895-1074"
"10.19195","2300-8113"
"10.15276","2221-3937"
"10.26416","1584-3513"
"10.30574","2582-5542"
"10.20396","1982-0569"
"10.13005","0973-3469"
"10.1245","1068-9265"
"10.23947","2414-1143"
"10.22259","2639-3573"
"10.31482","0372-7025"
"10.22452","0127-046X"
"10.5944","2174-8950"
