"doi_prefix","issn"
"10.2208","1884-2399"
"10.19146","2447-5114"
"10.4329","1949-8470"
"10.18261","0809-2044"
"10.22606","2519-1063"
"10.36493","1229-3458"
"10.22209","2539-0694"
"10.35817","2621-1351"
"10.15381","1609-9419"
"10.52547","1735-3165"
"10.32626","2309-8082"
"10.31618","2413-9335"
"10.16925","2357-6014"
"10.3349","0513-5796"
"10.3724","1000-3207"
"10.54909","2525-507X"
"10.32843","2519-2868"
"10.4088","2155-7780"
"10.7146","2446-3051"
"10.24036","2549-6743"
"10.1287","0364-765X"
"10.2531","0914-6024"
"10.32737","2221-8688"
"10.5276","1088-1697"
"10.5042","1757-8043"
"10.23937","2469-5750"
"10.32608","2305-8773"
"10.26565","2220-7929"
"10.3899","0315-162X"
"10.1532","0925-5710"
"10.37631","2775-9989"
"10.29413","2587-9596"
"10.30545","2414-8938"
"10.47197","1988-2041"
"10.24979","2317-5206"
"10.3191","0123-4226"
"10.37637","2406-730X"
"10.24042","2549-1229"
"10.4254","1948-5182"
"10.15542","1437-2355"
"10.1075","0922-842X"
"10.29364","1802-8853"
"10.152","0149-6115"
"10.23949","1738-964X"
"10.21915","2304-7895"
"10.3122","1557-2625"
"10.5416","1348-8538"
"10.16965","2321-8967"
"10.33772","2406-9337"
"10.20956","2549-9785"
"10.4054","1435-9871"
"10.4102","2305-0853"
"10.5267","2291-6822"
"10.33871","2238-6084"
"10.28995","2686-7648"
"10.60037","2617-4294"
"10.5021","1013-9087"
"10.46223","1859-3453"
"10.56583","1644-9398"
"10.26603","2159-2896"
"10.3817","0090-6514"
"10.21825","1379-9460"
"10.15379","2410-1869"
"10.35765","2391-9485"
"10.168","1753-7843"
"10.20902","0974-4290"
"10.24198","2620-844X"
"10.23885","1814-3326"
"10.1854","2527-1075"
"10.1673","1536-2442"
"10.24114","2580-894X"
"10.25279","2548-1010"
"10.58828","0085-4417"
"10.21301","2334-8801"
"10.17489","2060-0305"
"10.2493","1882-675X"
"10.25115","2340-9630"
"10.2136","0361-5995"
"10.1891","0889-8391"
"10.29057","2007-6363"
"10.15547","1313-8820"
"10.3691","2415-8224"
"10.23859","1994-0637"
"10.29038","2524-2679"
"10.3792","0386-2194"
"10.32628","2395-602X"
"10.17513","2070-7428"
"10.1474","1920-4531"
"10.15248","2188-5079"
"10.2517","2808-3873"
"10.14232","0001-6969"
"10.31289","2684-9305"
"10.33589","2641-6719"
"10.17979","2386-7418"
"10.5505","1307-4504"
"10.56557","2395-3446"
"10.60143","2583-8644"
"10.18032","1226-2234"
"10.1268","2734-8458"
"10.33552","2641-6360"
"10.37934","2462-1943"
"10.1256","0043-1656"
"10.18413","2712-9047"
"10.4326","1883-4108"
"10.5612","0037-6779"
"10.16937","1738-1258"
"10.54097","2771-3032"
"10.18384","2310-6794"
"10.1157","0300-8932"
"10.17721","2227-796X"
"10.5032","1042-0541"
"10.36535","0869-4176"
"10.47993","2227-3662"
"10.2749","1016-8664"
"10.21557","2159-3612"
"10.37702","2236-0158"
"10.30972","1853-8460"
"10.1044","1085-9586"
"10.12989","1225-4568"
"10.29137","1308-5514"
"10.1558","2276-7770"
"10.5204","1441-2616"
"10.565","1345-8957"
"10.7567","0021-4922"
"10.7566","0031-9015"
"10.1078","0932-4739"
"10.7844","1225-8326"
"10.23925","2316-3267"
"10.18403","1309-5803"
"10.21625","2357-0857"
"10.15625","0866-7136"
"10.3332","1857-8969"
"10.21727","1984-0993"
"10.37652","2706-6703"
"10.3655","2415-7988"
"10.28932","2443-2229"
"10.21303","2504-5679"
"10.32007","2410-8057"
"10.33503","2654-5586"
"10.4169","0746-8342"
"10.47824","2623-2278"
"10.55905","1696-8352"
"10.15694","2312-7996"
"10.17681","2148-7588"
"10.24084","2172-038X"
"10.31254","2320-480X"
"10.5198","1938-7849"
"10.18233","2395-8235"
"10.26686","2624-277X"
"10.47924","1850-4485"
"10.47877","0234-0623"
"10.24197","1989-7383"
"10.2304","2042-7530"
"10.33417","2147-3374"
"10.3775","0916-8753"
"10.15574","2663-7553"
"10.37307","2194-5837"
"10.4183","1841-0987"
"10.4015","1016-2372"
"10.24215","2314-2766"
"10.52711","0974-360X"
"10.30875","2519-3155"
"10.3999","1882-8272"
"10.5233","1453-4541"
"10.58884","2148-5933"
"10.58814","2256-490X"
"10.53614","1829-4952"
"10.30857","2617-9105"
"10.1569","2414-3545"
"10.13182","0029-5639"
"10.33689","1304-284X"
"10.55407","2173-6545"
"10.2185","0468-2513"
"10.33697","1536-4585"
"10.54254","2755-2721"
"10.18565","2414-9128"
"10.21887","2395-1176"
"10.5186","1239-629X"
"10.30651","2597-7539"
"10.15661","1010-9161"
"10.17706","2010-362X"
"10.1911","2712-7761"
"10.1377","0278-2715"
"10.36359","2664-5610"
"10.4315","0362-028X"
"10.36959","2642-4576"
"10.1644","0022-2372"
"10.32985","1847-7003"
"10.1699","2149-0821"
"10.3852","0027-5514"
"10.14569","2156-5570"
"10.30604","2502-9495"
"10.4268","1001-5302"
"10.3354","0171-8630"
"10.15294","2502-6232"
"10.59568","1813-3509"
"10.4623","2674-8266"
"10.5344","0002-9254"
"10.5205","1981-8963"
"10.22201","2448-492X"
"10.47485","2767-5416"
"10.3925","1883-8383"
"10.4278","0890-1171"
"10.5587","2001-1377"
"10.5117","2543-1684"
"10.33996","2631-2883"
"10.13037","2178-0145"
"10.19103","2059-6936"
"10.30744","2179-3425"
"10.15581","2174-0887"
"10.5924","1884-3867"
"10.30687","2610-9549"
"10.1634","1083-7159"
"10.26858","2798-379X"
"10.3136","1344-6606"
"10.1513","2329-6933"
"10.2089","2358-4874"
"10.48022","1598-642X"
"10.24014","2407-8786"
"10.46303","2690-2788"
"10.47671","0371-683X"
"10.29011","2575-7091"
"10.5601","1644-2296"
"10.24093","2229-9327"
"10.24135","2744-4015"
"10.53874","2518-850X"
"10.5479","1948-6006"
"10.47102","0304-4602"
"10.30656","2620-8067"
"10.15672","2651-477X"
"10.46823","1229-3652"
"10.34883","2072-912X"
"10.29048","1309-2243"
"10.5209","1988-3285"
"10.48175","2581-9429"
"10.32894","2616-6801"
"10.335","2287-2728"
"10.36311","2237-7743"
"10.5846","1000-0933"
"10.22355","0874-5560"
"10.18778","2450-2782"
"10.7322","2175-3598"
"10.53682","2774-6836"
"10.47492","2722-9467"
"10.20527","2714-9803"
"10.4274","1300-7777"
"10.34142","2313-2361"
"10.7162","1809-9777"
"10.12693","0587-4246"
"10.1589","0915-5287"
"10.17277","2588-0012"
"10.16999","1598-3854"
"10.61902","2987-9701"
"10.7841","1225-7117"
"10.36815","2615-7306"
"10.1183","0903-1936"
"10.7589","0090-3558"
"10.15584","1642-1248"
"10.32762","2584-6159"
"10.4468","1593-0319"
"10.5481","1906-201X"
"10.1519","1064-8011"
"10.13107","2321-3817"
"10.1307","0026-2285"
"10.7782","1738-6225"
"10.4171","0034-5318"
"10.22483","2177-5796"
"10.17304","2356-5527"
"10.18698","2542-1468"
"10.4257","2177-6199"
"10.33987","2313-4569"
"10.5363","1884-7080"
"10.5833","0386-9768"
"10.33196","0930-3855"
"10.35433","2664-0155"
"10.31053","1853-0605"
"10.26442","2079-5831"
"10.17077","0021-065X"
"10.33776","2173-6839"
"10.29302","1454-9409"
"10.5406","0742-4671"
"10.3189","0022-1430"
"10.54195","1973-3518"
"10.3167","2045-4813"
"10.11118","1211-8516"
"10.1294","1340-3516"
"10.274","1881-2368"
"10.12951","1884-3344"
"10.38161","2618-9526"
"10.5794","2186-1579"
"10.54691","2692-6156"
"10.59175","2829-5196"
"10.26618","2686-5467"
"10.25273","2502-2857"
"10.25004","0975-248X"
"10.17671","1307-9697"
"10.33233","2675-1372"
"10.14712","1802-3061"
"10.34209","2684-9739"
"10.1772","2311-6919"
"10.14316","1226-5829"
"10.37493","2307-907X"
"10.56709","2830-7089"
"10.17976","1026-9487"
"10.29245","2578-2967"
"10.14425","2232-1802"
"10.31891","2307-5740"
"10.4055","1226-2102"
"10.4162","1976-1457"
"10.5195","2158-8724"
"10.37817","2654-7538"
"10.3769","1884-4111"
"10.7134","0915-7395"
"10.21287","1598-4192"
"10.31399","0002-614X"
"10.1332","1478-6737"
"10.7186","0126-6187"
"10.7463","1994-0408"
"10.18237","1226-2625"
"10.53751","2752-7042"
"10.36878","2703-1934"
"10.24912","2442-4501"
"10.52967","2663-6794"
"10.26668","2526-0049"
"10.33899","1819-1746"
"10.1596","1813-9450"
"10.116","0340-6245"
"10.31838","2394-5125"
"10.3284","1992-5786"
"10.56369","1870-0462"
"10.2142","0582-4052"
"10.54432","2754-0804"
"10.553","2348-8832"
"10.11639","1345-2614"
"10.5964","1841-0413"
"10.15374","1733-4101"
"10.14395","2757-6949"
"10.722","1392-0588"
"10.46429","2308-1759"
"10.12955","1805-9961"
"10.51298","1859-1868"
"10.2151","0026-1165"
"10.25248","2178-2091"
"10.31418","2177-2770"
"10.2676","2459-9638"
"10.54304","2149-018X"
"10.558","1937-8289"
"10.1147","0018-8670"
"10.332","1066-7660"
"10.7319","1598-2955"
"10.31487","2674-2470"
"10.17119","0913-0977"
"10.46488","2395-3454"
"10.25881","2072-8255"
"10.3851","1359-6535"
"10.21917","2395-1672"
"10.7837","1229-3431"
"10.17222","1580-3414"
"10.21319","2455-9350"
"10.31454","2564-7695"
"10.3997","2214-4609"
"10.26641","2307-0404"
"10.3148","1486-3847"
"10.30682","2283-916X"
"10.5154","1027-152X"
"10.1365","0009-5893"
"10.18019","1028-4427"
"10.1085","0022-1295"
"10.21","2328-8744"
"10.7716","2119-0275"
"10.7193","0779-7389"
"10.18203","2394-6040"
"10.2967","0091-4916"
"10.31176","1787-7245"
"10.24953","2791-6421"
"10.14814","2051-817X"
"10.20453","2225-7616"
"10.52","0067-3064"
"10.20537","2076-7633"
"10.31862","2073-9613"
"10.30773","1738-3684"
"10.1359","0884-0431"
"10.15666","1589-1623"
"10.54966","2716-8247"
"10.1083","1540-8140"
"10.33425","2639-9342"
"10.5506","1899-2358"
"10.22145","0067-205X"
"10.15593","2224-9389"
"10.5102","2236-1677"
"10.26611","2579-0897"
"10.1679","0004-0681"
"10.47287","1520-605X"
"10.31294","2808-7976"
"10.55444","2451-7321"
"10.5572","1598-7132"
"10.1892","0891-6640"
"10.17554","2313-5611"
"10.31983","2655-8033"
"10.2529","0032-8456"
"10.4209","1680-8584"
"10.18196","2720-9393"
"10.31548","2663-1334"
"10.17234","1330-0946"
"10.18472","1677-6976"
"10.5423","1598-2254"
"10.37481","2774-888X"
"10.1899","0887-3593"
"10.2492","0389-4290"
"10.17289","1226-6450"
"10.31901","0970-9274"
"10.21098","2460-9196"
"10.22233","2041-2487"
"10.14412","2310-158X"
"10.14201","2340-4396"
"10.51642","2710-1924"
"10.14776","1226-3923"
"10.4238","1676-5680"
"10.3144","1788-618X"
"10.14743","1854-6250"
"10.35631","0128-164X"
"10.29049","1226-0401"
"10.7251","2233-0410"
"10.52783","2984-9128"
"10.18174","0028-2928"
"10.32465","1229-344X"
"10.2807","9999-1233"
"10.17159","1727-3781"
"10.17851","2317-2096"
"10.15554","0887-9672"
"10.30638","1582-9596"
"10.18357","1920-7298"
"10.18584","1916-5781"
"10.47467","2986-5395"
"10.5656","1225-0171"
"10.17673","2500-3437"
"10.21474","2320-5407"
"10.30998","2579-7840"
"10.17073","2410-2091"
"10.7718","2244-1484"
"10.3177","0301-4800"
"10.35133","1975-7697"
"10.35216","1976-4405"
"10.3159","1095-5674"
"10.35594","1226-6787"
"10.32838","2710-4656"
"10.20503","2237-1427"
"10.4328","2667-663X"
"10.37391","2347-4696"
"10.33678","0010-8650"
"10.18334","1994-6929"
"10.22439","1832-5203"
"10.32854","2594-0252"
"10.1383","1357-3039"
"10.35541","0412-4030"
"10.35414","2149-3367"
"10.18353","0287-3478"
"10.21821","2309-5180"
"10.51","0549-4974"
"10.26549","2591-7161"
"10.31949","2548-6756"
"10.18178","2278-5221"
"10.17267","2238-2704"
"10.5802","2426-8399"
"10.2152","1343-1420"
"10.7205","0026-4075"
"10.165","0010-5422"
"10.1191","1078-1552"
"10.33197","2460-030X"
"10.1638","1042-7260"
"10.33387","2774-2644"
"10.33119","2719-3276"
"10.5787","2224-0020"
"10.1595","0032-1400"
"10.48087","2437-0665"
"10.17762","1309-4653"
"10.32841","2409-1154"
"10.35573","1975-5813"
"10.22358","1230-1388"
"10.5147","2158-933X"
"10.53511","2310-6115"
"10.48044","1935-5297"
"10.11621","0201-7385"
"10.12659","1941-5923"
"10.46553","0327-8859"
"10.12797","2391-6737"
"10.24176","2580-9520"
"10.56327","2598-246X"
"10.15611","1899-3192"
"10.18852","1738-0863"
"10.37499","1392-3218"
"10.9788","1413-389X"
"10.17509","2541-4135"
"10.3158","2663-6638"
"10.31609","1309-3843"
"10.31142","2456-6470"
"10.18546","1474-8460"
"10.21733","2687-2811"
"10.1538","0007-5124"
"10.4116","1881-8129"
"10.31244","0556-8218"
"10.31631","2619-0494"
"10.25234","0352-5317"
"10.35424","2663-3981"
"10.31055","1851-2372"
"10.25202","2287-4739"
"10.3311","1587-379X"
"10.18311","0976-9420"
"10.46544","1335-1788"
"10.31421","1585-0404"
"10.5351","1225-066X"
"10.4097","0302-5780"
"10.2324","1884-0442"
"10.57026","2957-9996"
"10.32918","2073-6231"
"10.11159","2371-5316"
"10.55606","2964-3252"
"10.19176","2317-4307"
"10.5111","0038-7002"
"10.17749","2070-4933"
"10.18008","2500-0845"
"10.4164","0386-6157"
"10.4259","1884-0051"
"10.15748","2188-5303"
"10.5249","2008-2053"
"10.2465","0021-4825"
"10.55677","2770-2782"
"10.55047","2809-9745"
"10.53364","2413-8614"
"10.2469","0015-198X"
"10.25258","0975-4415"
"10.21082","2502-5120"
"10.526","2763-583X"
"10.478","2615-9902"
"10.32714","2243-4712"
"10.7846","2288-0089"
"10.21742","2207-3213"
"10.7237","2276-8572"
"10.58257","2583-1062"
"10.14775","1598-6721"
"10.52297","2181-1466"
"10.51501","2379-3252"
"10.22437","2580-2305"
"10.33237","2236-255X"
"10.1625","1348-7922"
"10.60082","2817-5069"
"10.25259","0976-4356"
"10.4754","2775-4162"
"10.1626","1343-943X"
"10.6017","2163-5226"
"10.3324","0390-6078"
"10.17756","2471-4291"
"10.31269","1726-670X"
"10.4262","1883-4558"
"10.21834","2398-4287"
"10.4685","1618-2502"
"10.1632","0030-8129"
"10.17146","2503-5029"
"10.17076","2312-4504"
"10.31641","1944-9674"
"10.35856","2548-5830"
"10.5006","0010-9312"
"10.2519","0190-6011"
"10.7227","1477-9714"
"10.55561","2828-9269"
"10.29117","2520-713X"
"10.26803","1694-2493"
"10.58282","2115-8037"
"10.21083","1916-7822"
"10.31603","2579-5198"
"10.54941","2771-0718"
"10.31732","2663-2209"
"10.51291","2377-7478"
"10.4064","0137-6934"
"10.12737","2587-912X"
"10.59254","2965-1476"
"10.33408","2519-237X"
"10.18338","1598-8708"
"10.242","2345-3605"
"10.2323","0022-1260"
"10.33262","2602-8085"
"10.18398","1738-7779"
"10.52281","2311-7575"
"10.1216","0035-7596"
"10.52991","1137-0874"
"10.5309","0043-5597"
"10.25024","0023-3900"
"10.3161","0003-4541"
"10.13177","1670-679X"
"10.7459","0726-2655"
"10.33866","2305-0284"
"10.3733","0008-0845"
"10.11569","2219-2859"
"10.31032","2277-4998"
"10.37272","1598-1983"
"10.34229","2707-451X"
"10.1426","2278-4748"
"10.54302","0252-9416"
"10.31185","2518-5586"
"10.17648","2447-2816"
"10.15393","1994-5973"
"10.1102","1470-5206"
"10.18208","1598-6497"
"10.2909","2586-8195"
"10.37538","2224-9494"
"10.36511","2078-5356"
"10.5553","2542-4602"
"10.31249","2073-5561"
"10.22514","2709-0086"
"10.5129","1302-1842"
"10.54227","2653-4878"
"10.1777","2256-0629"
"10.1913","2683-1759"
"10.5633","0365-4478"
"10.1617","1359-5997"
"10.23951","2307-6119"
"10.5486","0033-3883"
"10.32642","2026-772X"
"10.26537","2183-2455"
"10.14445","2231-5381"
"10.22456","2317-8558"
"10.32","0022-0485"
"10.12795","1575-6823"
"10.33166","2632-7694"
"10.13035","2328-1308"
"10.14311","2336-5382"
"10.18657","1302-0064"
"10.23856","2543-8204"
"10.2177","0911-4300"
"10.21675","2357-707X"
"10.1369","0022-1554"
"10.17641","1229-0858"
"10.23899","2525-7870"
"10.52712","2683-9288"
"10.24815","2527-8428"
"10.17132","2377-231X"
"10.15623","2321-7308"
"10.53958","2656-873X"
"10.3238","1866-0452"
"10.37506","0974-1283"
"10.31943","2622-3392"
"10.7883","1344-6304"
"10.36045","1370-1444"
"10.33407","2076-8184"
"10.52206","1819-4583"
"10.29274","1225-8814"
"10.47577","2668-7798"
"10.3563","2199-885X"
"10.4321","1139-7632"
"10.31031","2578-0042"
"10.34005","2655-9633"
"10.53665","2765-3862"
"10.22478","1981-0695"
"10.3799","2687-4555"
"10.52351","0026-0827"
"10.21154","2548-3447"
"10.787","0713-3936"
"10.3938","0374-4884"
"10.18282","2251-2802"
"10.33516","0025-1674"
"10.14267","1788-0696"
"10.47205","2709-6254"
"10.32983","2222-4459"
"10.5453","0367-6110"
"10.15171","2008-6520"
"10.2644","2456-8090"
"10.3842","1815-0659"
"10.375","2581-5148"
"10.17308","1680-5755"
"10.36732","2674-5976"
"10.20535","2312-1807"
"10.1509","0022-2429"
"10.11154","0915-8588"
"10.2331","0919-9268"
"10.31417","2447-794X"
"10.31554","2222-9175"
"10.3318","0791-7945"
"10.5134","0037-2870"
"10.31066","2005-2715"
"10.53708","2664-1151"
"10.24884","2686-7370"
"10.3108","2582-3205"
"10.131","1082-0744"
"10.35699","1981-3171"
"10.4244","1774-024X"
"10.33131","2422-2208"
"10.52065","2519-402X"
"10.3183","2000-0669"
"10.37313","1990-5378"
"10.37936","1685-9545"
"10.1908","2575-8551"
"10.1254","2435-4953"
"10.31002","2541-1209"
"10.9751","1991-3907"
"10.29252","2423-3528"
"10.2503","1880-358X"
"10.54921","2413-0346"
"10.1681","1046-6673"
"10.36825","2387-0893"
"10.24113","2582-3574"
"10.18061","2159-8371"
"10.15291","1848-7459"
"10.5585","2177-5184"
"10.1252","0021-9592"
"10.5666","1225-6951"
"10.21423","2151-2612"
"10.20914","2310-1202"
"10.2138","0003-004X"
"10.5901","2039-9340"
"10.18616","2526-4559"
"10.1824","2222-3959"
"10.2108","0289-0003"
"10.31239","2316-9699"
"10.29393","0718-0462"
"10.25208","2313-6294"
"10.55123","2829-2340"
"10.24294","2578-1812"
"10.32935","1815-2600"
"10.25167","1642-2597"
"10.6159","2988-7232"
"10.3345","1738-1061"
"10.24108","2587-9278"
"10.21541","2147-4575"
"10.5271","0355-3140"
"10.5762","1975-4701"
"10.36661","2596-142X"
"10.1361","1059-9630"
"10.16888","0325-8203"
"10.37663","0131-6184"
"10.48048","2228-835X"
"10.20883","2353-9801"
"10.25267","2173-0687"
"10.4046","1738-3536"
"10.23871","2179-8869"
"10.21883","0320-0116"
"10.17241","2093-9175"
"10.5432","0484-6710"
"10.9775","1300-6045"
"10.4307","1883-9002"
"10.26689","2208-8474"
"10.1387","0214-6282"
"10.46445","2548-7558"
"10.5358","1345-5834"
"10.52054","2684-4230"
"10.17969","2614-6053"
"10.14489","0203-347X"
"10.1352","0047-6765"
"10.2575","1995-4301"
"10.2526","1881-0888"
"10.31743","2719-3586"
"10.5339","0253-8253"
"10.4184","1976-1902"
"10.30838","2312-2676"
"10.18805","0976-0555"
"10.47919","2254-4445"
"10.56497","0013-2993"
"10.35196","0187-7380"
"10.14748","1314-6408"
"10.15729","2318-5880"
"10.11641","0389-9403"
"10.4132","2383-7837"
"10.33284","2658-3135"
"10.36074","2710-3056"
"10.1211","0022-3573"
"10.25026","2614-4778"
"10.22175","2575-985X"
"10.36243","2067-6808"
"10.3196","0044-2380"
"10.36514","1598-4915"
"10.2608","2064-1966"
"10.1688","1226-7910"
"10.21432","1499-6685"
"10.7441","1804-171X"
"10.18764","2178-2865"
"10.2522","0031-9023"
"10.32749","2448-0959"
"10.22455","2500-4247"
"10.4057","0021-5414"
"10.975","2056-743X"
"10.3068","0131-7652"
"10.22373","2460-0733"
"10.21661","2500-137X"
"10.17807","1984-6428"
"10.54783","2715-8780"
"10.32837","2519-8858"
"10.713","0912-2664"
"10.21649","2079-0694"
"10.185","1819-4907"
"10.3342","2092-5859"
"10.17759","1814-2052"
"10.35833","2196-5625"
"10.5735","0003-3847"
"10.7124","2415-3826"
"10.26163","1995-1248"
"10.15688","2658-3593"
"10.58968","2775-4251"
"10.55299","2809-9826"
"10.17092","1738-4745"
"10.31381","2519-5697"
"10.17977","2615-8574"
"10.4142","1229-845X"
"10.21097","1975-4051"
"10.32849","2663-5313"
"10.25009","2683-2070"
"10.30811","2597-9140"
"10.4131","0917-639X"
"10.14802","2005-940X"
"10.30872","2477-2674"
"10.33894","2601-5773"
"10.33938","2077-3595"
"10.30987","2686-8326"
"10.21823","2542-0933"
"10.2525","1880-2028"
"10.15259","1896-5644"
"10.25094","1808-5385"
"10.32917","0018-2079"
"10.13189","2332-0052"
"10.582","0893-5394"
"10.17932","2528-9411"
"10.5227","0915-3535"
"10.51631","2072-0432"
"10.2228","1984-3577"
"10.2226","2413-5844"
"10.22543","2392-7674"
"10.15382","1991-6493"
"10.61387","0944-7105"
"10.253","0288-6200"
"10.22436","2008-949X"
"10.52846","1582-313X"
"10.33045","2602-1978"
"10.1309","1943-7722"
"10.17853","2310-5828"
"10.32028","2059-4682"
"10.15304","2340-0013"
"10.5806","1225-0163"
"10.21595","2345-0533"
"10.30843","1179-352X"
"10.7733","1738-1894"
"10.4208","1000-940X"
"10.61581","2708-2601"
"10.3666","2675-312X"
"10.3751","0026-3141"
"10.3363","0918-4783"
"10.31048","1852-4826"
"10.7774","2287-3651"
"10.25086","1598-1452"
"10.2969","0920-1971"
"10.14451","2072-0858"
"10.2513","2415-1726"
"10.3739","2184-4682"
"10.22351","1678-6408"
"10.1727","1895-2038"
"10.2107","2548-2254"
"10.55071","1305-7820"
"10.32851","2663-5283"
"10.5692","0009-918X"
"10.15226","2378-1726"
"10.31545","0236-8722"
"10.12733","1548-7741"
"10.9707","2168-149X"
"10.3905","1559-3967"
"10.7547","8750-7315"
"10.54217","2411-1627"
"10.4669","2709-2119"
"10.37185","2708-2970"
"10.31788","0974-1496"
"10.1651","0278-0372"
"10.3283","2654-3885"
"10.25105","2685-4996"
"10.3125","1815-8927"
"10.21298","1738-3005"
"10.2261","2221-2590"
"10.24321","2581-5822"
"10.25189","2675-4916"
"10.6023","0253-2786"
"10.4304","1799-2591"
"10.3985","1883-5864"
"10.46363","2663-4155"
"10.5922","2079-8555"
"10.25018","0236-1493"
"10.2187","0914-9201"
"10.395","2186-6767"
"10.5216","1519-6240"
"10.118","0369-0148"
"10.14214","1455-2515"
"10.1529","2353-7914"
"10.47905","2500-0837"
"10.2395","1812-2892"
"10.3837","1976-7277"
"10.25214","2590-7816"
"10.5552","0012-6772"
"10.19048","2409-4161"
"10.1692","2394-1707"
"10.4045","0029-2001"
"10.56808","2985-1130"
"10.4318","1300-4948"
"10.58645","2747-2787"
"10.20533","2040-2570"
"10.33137","1913-6005"
"10.22504","1229-0297"
"10.156","2238-121X"
"10.38007","2789-8393"
"10.29235","2524-230X"
"10.17141","1390-8065"
"10.21107","2502-5325"
"10.18001","2333-9748"
"10.5418","1679-768X"
"10.15588","1607-6885"
"10.189","2150-8925"
"10.4724","2675-2174"
"10.26874","2502-3438"
"10.1257","0002-8282"
"10.14734","1229-2605"
"10.1194","0022-2275"
"10.37893","2656-856X"
"10.56178","0326-7725"
"10.15811","1225-1933"
"10.21136","0011-4642"
"10.1346","0009-8604"
"10.53979","2687-5691"
"10.51155","2765-6225"
"10.14498","1991-8615"
"10.25313","2520-2294"
"10.36408","2685-7898"
"10.7867","2317-5443"
"10.21314","1744-6619"
"10.35327","2615-8116"
"10.5323","1548-1867"
"10.12996","2147-2092"
"10.1366","0003-7028"
"10.52756","2455-4855"
"10.2423","2671-4345"
"10.3146","0095-3679"
"10.32702","2307-2156"
"10.36911","2685-2764"
"10.13004","1738-8708"
"10.12928","2088-687X"
"10.3949","0891-1150"
"10.29078","2588-0780"
"10.55248","2582-7421"
"10.35774","2522-185X"
"10.32725","1213-2101"
"10.48037","2634-0631"
"10.9755","2079-0538"
"10.22409","1808-799X"
"10.23929","2149-8598"
"10.30819","2625-378X"
"10.46743","1540-580X"
"10.3844","1549-3644"
"10.17576","0126-6039"
"10.15664","1465-2862"
"10.17492","2395-2598"
"10.21274","2776-7434"
"10.37026","2520-6427"
"10.61426","2312-9492"
"10.2249","2462-9448"
"10.26458","2285-3642"
"10.31584","2630-0559"
"10.21248","1535-1793"
"10.18354","1309-887X"
"10.22441","2598-2982"
"10.53469","2141-5595"
"10.15312","2146-1953"
"10.46773","2747-1403"
"10.3154","1884-037X"
"10.18393","2147-4249"
"10.30989","2548-6268"
"10.5399","2158-3846"
"10.18297","2578-9333"
"10.29073","2184-3082"
"10.17148","2394-1588"
"10.24265","1812-7886"
"10.17771","2237-115X"
"10.3169","1881-6908"
"10.33087","2580-7463"
"10.24871","2302-8181"
"10.26713","0976-5905"
"10.1317","2502-6194"
"10.24127","2442-5419"
"10.37732","1229-0238"
"10.11649","2392-2400"
"10.25071","0843-4182"
"10.13173","0341-0137"
"10.14207","2239-5938"
"10.2202","1932-9156"
"10.7785","1533-0346"
"10.18517","2460-6952"
"10.33005","2614-6649"
"10.786","2249-782X"
"10.14195","1647-8606"
"10.20911","2176-8757"
"10.5569","2340-5104"
"10.31499","2616-5236"
"10.22394","1816-8590"
"10.11728","0254-6124"
"10.28978","2458-8989"
"10.15184","0003-598X"
"10.18254","2079-8784"
"10.14428","0035-2160"
"10.15298","0132-8069"
"10.2164","2007-0705"
"10.24891","2073-039X"
"10.11113","2180-3722"
"10.33216","2219-2654"
"10.2219","1820-7804"
"10.48084","1792-8036"
"10.2508","1346-907X"
"10.59345","2987-0348"
"10.36677","2448-749X"
"10.15251","1584-9953"
"10.2112","0749-0208"
"10.24887","0028-2448"
"10.15755","2288-4599"
"10.5926","0021-5015"
"10.18554","2178-9770"
"10.1106","1045-389X"
"10.26428","2658-5510"
"10.3909","1530-6550"
"10.12736","2300-3022"
"10.57058","2962-391X"
"10.12962","2613-9960"
"10.5395","2234-7658"
"10.14346","1738-3803"
"10.7461","2234-8565"
"10.24054","2422-1716"
"10.58578","2808-1854"
"10.35679","1991-9476"
"10.33206","1694-7215"
"10.23969","2549-2594"
"10.17795","2322-5262"
"10.24251","2572-6862"
"10.14493","1738-3447"
"10.22449","0233-7584"
"10.24205","1851-7951"
"10.28926","2598-2877"
"10.5334","2397-1835"
"10.36452","2686-0201"
"10.12981","1308-4445"
"10.52163","2354-0613"
"10.31275","0892-3310"
"10.31252","2183-8453"
"10.31258","2654-9069"
"10.5407","1598-8430"
"10.26418","2620-8989"
"10.2459","1558-2027"
"10.31937","2549-4015"
"10.20965","1883-8049"
"10.15704","1225-1461"
"10.2476","0001-5202"
"10.15789","2313-741X"
"10.35741","0258-2724"
"10.37418","1857-8365"
"10.25247","2178-8162"
"10.15544","1822-6760"
"10.58335","1760-5296"
"10.15373","2277-8179"
"10.13168","1214-9705"
"10.32447","2708-1389"
"10.32457","0719-9392"
"10.23887","2599-1426"
"10.18843","2231-2528"
"10.22509","1738-8244"
"10.19044","1857-7881"
"10.51197","2709-6491"
"10.53738","1660-9379"
"10.29321","0024-9602"
"10.5104","1343-9677"
"10.7172","1644-9584"
"10.21122","2414-0341"
"10.15407","2071-0194"
"10.16986","1300-5340"
"10.3089","2567-5273"
"10.24247","2249-6890"
"10.18699","2500-3259"
"10.17949","1598-3692"
"10.5141","2287-8327"
"10.2193","0022-541X"
"10.31352","1738-351X"
